Ambient,Ref Temp on Bed,Spindle Rear,Coolantwall,Transfomerbed,Spindle Front
19.0,19.48,21.76,20.88,20.93,21.79
19.0,19.56,21.95,21.32,21.06,21.95
19.17,19.59,22.18,21.63,21.09,22.26
19.18,19.62,22.44,21.85,21.17,22.54
19.29,19.65,22.67,22.0,21.23,22.8
19.4,19.7,22.95,22.13,21.29,23.04
19.54,19.73,23.19,22.25,21.35,23.29
19.7,19.77,23.4,22.36,21.4,23.47
19.85,19.78,23.62,22.44,21.42,23.68
19.93,19.81,23.86,22.52,21.48,23.86
20.02,19.85,24.11,22.6,21.56,24.05
20.18,19.88,24.32,22.67,21.62,24.25
20.28,19.92,24.54,22.76,21.68,24.42
20.38,19.95,24.77,22.82,21.73,24.59
20.44,20.0,24.95,22.89,21.77,24.76
20.53,20.04,25.14,22.95,21.82,24.92
20.69,20.06,25.34,23.03,21.9,25.04
20.81,20.11,25.53,23.1,21.94,25.2
20.89,20.17,25.71,23.17,22.03,25.36
20.95,20.19,25.87,23.23,22.06,25.5
21.03,20.23,26.06,23.29,22.11,25.63
21.09,20.29,26.2,23.36,22.17,25.79
21.19,20.35,26.37,23.42,22.22,25.9
21.23,20.36,26.52,23.47,22.3,26.02
21.4,20.4,26.67,23.54,22.37,26.13
21.48,20.46,26.8,23.6,22.42,26.28
21.59,20.5,26.95,23.65,22.45,26.39
21.67,20.54,27.11,23.71,22.51,26.52
21.75,20.6,27.25,23.77,22.57,26.63
21.79,20.65,27.37,23.81,22.64,26.76
21.88,20.69,27.52,23.88,22.72,26.86
21.96,20.72,27.63,23.95,22.79,26.97
22.11,20.76,27.77,24.0,22.81,27.09
22.2,20.8,27.87,24.06,22.89,27.18
22.31,20.86,28.02,24.12,22.98,27.29
22.38,20.89,28.14,24.17,23.03,27.38
22.46,20.95,28.23,24.21,23.11,27.48
22.57,21.0,28.38,24.28,23.19,27.59
22.71,21.04,28.47,24.35,23.2,27.68
22.78,21.07,28.56,24.38,23.25,27.77
22.87,21.12,28.7,24.45,23.34,27.86
22.9,21.18,28.8,24.48,23.37,27.95
22.98,21.21,28.86,24.55,23.45,28.03
23.05,21.26,28.98,24.61,23.5,28.11
23.11,21.29,29.11,24.65,23.56,28.21
23.17,21.35,29.2,24.7,23.62,28.29
23.23,21.4,29.3,24.77,23.72,28.37
23.31,21.44,29.37,24.8,23.79,28.45
23.45,21.5,29.5,24.87,23.8,28.55
23.52,21.52,29.59,24.93,23.89,28.62
23.61,21.57,29.68,24.97,23.9,28.71
23.68,21.62,29.78,25.04,24.03,28.79
23.7,21.65,29.88,25.07,24.1,28.88
23.76,21.7,29.96,25.13,24.19,28.94
23.85,21.77,30.04,25.2,24.21,29.03
23.97,21.8,30.14,25.22,24.29,29.11
24.05,21.84,30.22,25.29,24.29,29.2
