Ambient,Ref Temp on Bed,Spindle Rear,Coolantwall,Transfomerbed,Spindle Front
21.19,20.73,23.53,22.28,21.97,23.51
26.93,23.86,31.14,26.35,26.79,30.27
27.39,25.55,34.73,28.07,28.69,33.2
21.11,21.15,28.02,24.07,23.11,27.31
20.86,19.69,25.2,22.21,21.12,24.63
26.11,25.13,34.38,28.11,28.37,32.97
20.12,20.81,26.11,23.28,22.38,25.7
27.05,25.19,34.29,28.2,28.27,32.9
23.48,21.61,28.27,24.47,23.45,27.53
26.36,25.0,34.2,27.98,28.18,32.79
25.8,23.69,31.29,26.44,26.62,30.37
23.43,21.59,28.8,24.56,23.61,27.94
24.77,22.61,30.85,25.96,25.07,29.79
26.4,25.02,34.23,28.02,28.23,32.79
22.78,21.32,27.18,23.86,23.0,26.59
25.5,23.42,30.97,26.09,26.27,30.1
25.8,23.97,32.65,27.28,26.86,31.4
24.61,22.3,30.95,25.72,24.96,29.82
21.78,21.42,28.94,24.54,23.6,28.12
24.62,22.36,31.0,25.79,25.04,29.93
26.4,25.0,34.2,27.98,28.17,32.79
22.36,21.68,29.63,24.92,24.04,28.7
20.28,19.92,24.54,22.76,21.68,24.42
26.95,26.06,35.52,28.97,29.35,34.06
21.73,21.4,28.86,24.5,23.55,28.05
23.05,21.26,28.98,24.61,23.5,28.11
26.61,24.5,33.13,27.47,27.44,31.84
25.69,24.26,32.79,27.21,27.25,31.57
22.69,21.54,29.85,24.94,23.94,28.79
25.88,23.31,31.2,26.25,26.29,30.18
26.45,23.23,30.15,25.53,25.93,29.32
26.19,25.57,34.75,28.0,28.7,33.2
23.09,21.46,27.72,24.2,23.28,27.07
27.14,25.35,34.54,28.36,28.46,33.15
25.79,23.4,31.5,26.42,26.29,30.42
24.38,22.53,31.61,26.09,25.35,30.43
25.79,23.42,30.69,26.02,26.22,29.86
23.13,21.36,28.14,24.2,23.35,27.36
26.51,24.36,32.86,27.36,27.25,31.63
19.17,19.59,22.18,21.63,21.09,22.26
19.54,19.73,23.19,22.25,21.35,23.29
26.47,25.29,34.43,27.84,28.48,32.88
25.13,22.94,31.76,26.38,25.63,30.6
26.89,25.81,35.16,28.77,29.0,33.73
21.25,20.67,24.62,22.64,22.03,24.44
22.04,20.95,28.52,24.12,23.07,27.61
25.07,22.78,31.2,26.2,25.35,30.12
25.79,23.54,30.52,25.95,26.37,29.78
26.35,23.89,32.7,27.09,27.04,31.4
25.69,23.39,30.77,26.04,26.18,29.93
26.56,24.78,33.83,27.79,27.93,32.47
27.06,25.47,34.75,28.5,28.63,33.34
22.73,20.57,28.15,23.84,22.65,27.26
24.04,22.04,29.53,25.19,24.14,28.61
20.04,20.11,24.45,22.19,21.43,24.12
26.64,24.39,33.61,27.6,27.56,32.18
24.19,22.1,30.13,25.35,24.43,29.11
21.48,20.46,26.8,23.6,22.42,26.28
25.85,23.26,31.0,26.17,26.21,30.06
23.31,21.44,29.37,24.8,23.79,28.45
27.29,23.98,31.12,26.36,26.88,30.34
23.97,21.8,30.14,25.22,24.29,29.11
25.85,23.34,31.26,26.29,26.27,30.22
21.11,20.61,24.2,22.48,21.92,24.05
27.12,24.29,32.43,26.89,27.29,31.19
19.36,20.68,23.76,22.48,21.77,23.76
25.06,22.43,31.23,25.62,25.11,30.0
22.44,21.12,26.22,23.44,22.68,25.77
25.0,22.57,31.36,25.96,25.31,30.23
26.02,24.04,32.38,26.95,27.09,31.2
26.3,24.7,32.83,27.63,27.67,31.7
25.89,23.57,30.67,26.05,26.51,29.96
24.12,22.13,29.79,25.32,24.36,28.81
24.38,22.38,31.4,25.95,25.2,30.21
26.43,24.69,33.72,27.68,27.82,32.36
26.9,24.81,33.73,27.86,27.87,32.4
26.98,26.02,35.41,28.93,29.29,33.95
26.07,23.1,30.5,25.62,25.71,29.59
26.04,24.53,33.45,27.55,27.62,32.13
20.57,19.55,24.47,21.86,20.88,24.0
23.14,21.52,27.87,24.26,23.32,27.18
24.2,22.56,31.38,26.0,25.37,30.25
26.95,24.92,33.86,27.93,27.95,32.5
25.86,24.0,32.31,26.93,27.09,31.15
24.29,22.04,30.54,25.48,24.61,29.45
26.39,25.45,34.63,27.95,28.6,33.08
26.03,23.63,31.68,26.45,26.57,30.61
26.53,25.21,34.38,27.77,28.38,32.83
26.29,24.11,32.31,27.07,26.98,31.17
26.45,23.27,30.1,25.52,25.98,29.29
25.25,23.05,31.59,26.36,25.84,30.38
22.97,21.8,30.4,25.26,24.32,29.29
25.63,23.52,30.62,25.98,26.42,29.86
22.38,20.4,27.68,23.55,22.34,26.84
27.22,25.82,35.11,28.29,28.98,33.54
25.26,24.36,33.06,27.36,27.36,31.8
25.36,23.26,32.04,26.75,25.92,30.89
27.09,24.05,31.53,26.54,26.96,30.61
21.93,20.89,28.34,24.0,22.95,27.45
22.72,21.3,29.39,24.65,23.61,28.39
21.3,21.25,28.32,24.2,23.28,27.57
26.3,24.72,32.93,27.67,27.72,31.79
26.12,24.56,33.86,27.75,27.78,32.41
26.63,25.15,34.29,27.76,28.31,32.75
24.62,22.29,30.6,25.62,24.76,29.53
26.29,24.53,33.79,27.71,27.7,32.34
21.86,21.48,29.11,24.62,23.75,28.27
23.2,22.09,30.54,25.45,24.68,29.5
21.63,21.34,28.7,24.42,23.47,27.89
26.31,25.55,34.72,28.0,28.73,33.16
27.34,24.78,33.5,27.39,27.86,32.11
26.38,25.46,34.63,27.95,28.61,33.06
25.62,23.02,30.29,25.62,25.86,29.47
20.18,20.14,24.81,22.32,21.48,24.42
24.13,22.54,31.35,25.95,25.35,30.2
26.23,24.97,34.13,27.96,28.13,32.73
26.26,23.19,30.29,25.57,25.9,29.43
21.79,20.65,27.37,23.81,22.64,26.76
20.51,19.53,24.28,21.79,20.85,23.87
27.46,25.5,34.65,28.03,28.6,33.13
23.7,21.79,29.36,24.87,23.92,28.4
26.0,23.79,31.3,26.56,26.6,30.37
26.95,24.95,33.95,27.98,27.98,32.59
26.54,24.59,33.29,27.61,27.55,32.0
25.62,22.92,30.98,25.77,25.63,29.84
26.36,23.55,31.48,26.19,26.38,30.31
26.2,25.61,34.79,28.03,28.81,33.22
27.05,25.73,35.06,28.68,28.95,33.63
26.45,25.48,34.68,27.97,28.65,33.11
26.53,25.4,34.61,27.88,28.6,33.04
26.7,24.47,31.77,27.14,27.31,31.0
24.67,22.54,30.79,25.93,24.98,29.76
26.38,25.11,34.31,28.09,28.37,32.95
24.31,22.72,31.63,26.15,25.56,30.46
24.5,22.28,30.87,25.7,24.92,29.79
22.48,21.14,26.39,23.52,22.72,25.9
26.62,24.23,31.95,27.04,27.1,31.03
24.68,22.6,31.29,25.95,25.53,30.06
26.53,25.2,34.31,27.79,28.25,32.79
24.04,22.03,29.94,25.2,24.29,28.93
26.51,23.69,31.86,26.36,26.6,30.61
26.44,23.94,31.78,26.8,26.71,30.73
23.38,21.59,28.17,24.38,23.51,27.4
21.81,20.82,25.79,23.11,22.34,25.38
22.97,21.29,27.87,24.07,23.17,27.13
26.48,24.84,33.9,27.53,27.89,32.4
24.34,22.46,31.53,26.03,25.3,30.34
26.03,23.76,31.1,26.46,26.47,30.21
21.39,20.79,24.0,22.5,22.09,23.94
26.09,24.56,33.52,27.57,27.7,32.18
26.38,23.95,32.84,27.14,27.0,31.52
23.77,21.82,29.46,24.94,24.02,28.51
25.56,22.89,31.06,25.78,25.56,29.86
26.2,24.76,32.98,27.7,27.79,31.82
24.86,22.54,31.29,25.92,25.27,30.14
26.62,23.7,31.54,26.4,26.62,30.54
26.23,25.3,34.77,28.36,28.67,33.25
22.2,20.8,27.87,24.06,22.89,27.18
22.77,20.62,28.27,23.89,22.72,27.35
25.71,22.94,30.9,25.75,25.63,29.8
24.4,22.2,30.4,25.5,24.61,29.34
20.52,20.31,22.06,21.21,21.36,22.06
26.36,24.37,31.51,26.88,27.2,30.72
20.38,19.48,23.89,21.61,20.68,23.54
25.98,23.87,33.0,27.39,26.79,31.76
27.19,25.45,34.7,28.44,28.62,33.29
25.36,22.79,31.7,26.18,25.59,30.5
25.73,23.09,32.13,26.42,25.96,30.89
24.45,22.45,30.5,25.76,24.8,29.48
25.61,22.98,32.04,26.35,25.86,30.8
26.35,23.92,32.77,27.11,27.02,31.46
19.79,20.72,25.07,22.9,22.04,24.84
25.23,22.71,31.6,25.86,25.34,30.34
25.69,23.79,31.73,26.63,26.72,30.69
26.36,25.11,34.54,28.2,28.44,33.04
25.29,23.34,32.18,26.84,26.0,31.0
25.61,22.92,30.51,25.7,25.79,29.64
26.94,25.06,34.11,28.09,28.12,32.75
23.76,21.84,29.0,24.87,23.84,28.14
19.4,19.7,22.95,22.13,21.29,23.04
26.2,23.87,31.6,26.71,26.7,30.59
20.67,20.45,22.27,21.29,21.55,22.28
20.23,20.18,24.97,22.37,21.52,24.56
26.63,23.9,32.43,26.69,26.8,31.1
27.22,23.95,30.93,26.3,26.85,30.12
26.69,23.79,31.35,26.36,26.71,30.4
22.61,21.2,26.71,23.68,22.81,26.18
26.63,23.79,32.13,26.51,26.64,30.85
26.4,24.0,31.94,26.89,26.84,30.86
19.44,20.69,23.97,22.56,21.8,23.95
19.13,20.61,23.0,22.19,21.61,23.11
24.39,22.12,30.69,25.57,24.7,29.6
25.29,23.11,31.48,26.32,25.86,30.31
26.18,25.64,34.79,28.02,28.87,33.25
24.89,22.51,30.95,25.87,25.06,29.86
22.81,21.87,30.14,25.2,24.4,29.12
23.21,21.4,28.22,24.28,23.36,27.45
25.63,23.46,32.4,26.97,26.21,31.2
27.48,25.0,33.88,27.6,28.07,32.43
25.72,23.38,31.44,26.38,26.38,30.36
26.19,23.76,32.84,27.28,26.55,31.61
25.95,23.87,31.97,26.76,26.87,30.87
27.18,24.25,32.27,26.84,27.2,31.07
26.2,25.13,34.38,28.11,28.42,32.97
26.11,23.93,32.11,26.84,26.9,30.98
23.86,21.86,29.56,25.0,24.07,28.56
26.53,24.4,33.63,27.61,27.57,32.2
25.51,23.22,31.14,26.2,26.02,30.15
26.34,23.88,31.7,26.77,26.69,30.65
19.93,19.81,23.86,22.52,21.48,23.86
24.54,21.93,30.52,25.17,24.39,29.35
25.96,23.68,30.77,26.28,26.43,30.0
27.21,26.0,35.34,28.46,29.28,33.75
23.53,21.12,29.3,24.52,23.4,28.27
27.09,25.56,34.86,28.54,28.72,33.43
25.48,22.95,31.93,26.34,25.8,30.7
26.95,25.94,35.27,28.86,29.17,33.84
21.48,21.3,28.62,24.35,23.45,27.82
22.73,21.28,29.32,24.59,23.52,28.31
24.67,22.0,30.68,25.27,24.48,29.47
24.67,22.97,32.0,26.42,25.87,30.81
24.26,22.69,31.57,26.11,25.51,30.39
23.19,21.45,28.36,24.32,23.38,27.54
24.95,22.75,31.1,26.15,25.23,30.04
21.04,20.56,23.76,22.3,21.79,23.7
25.42,23.37,31.04,26.11,26.32,30.12
26.4,25.35,34.5,27.87,28.55,32.95
27.38,24.98,33.88,27.59,28.1,32.43
25.26,24.37,33.16,27.38,27.48,31.87
22.12,20.98,28.59,24.15,23.11,27.69
23.87,22.46,31.21,25.86,25.25,30.11
22.25,21.0,26.76,23.55,22.67,26.2
26.0,23.14,30.54,25.9,26.0,29.75
25.7,23.8,31.84,26.67,26.8,30.77
26.29,24.78,33.04,27.75,27.85,31.87
23.37,21.9,30.62,25.38,24.54,29.48
27.36,25.71,34.98,28.23,28.85,33.43
26.34,24.46,33.7,27.67,27.67,32.29
20.14,19.39,23.3,21.34,20.55,23.04
27.3,24.7,33.4,27.34,27.79,32.0
24.76,23.05,32.13,26.46,25.95,30.9
22.11,21.57,29.38,24.78,23.89,28.5
26.56,24.53,32.13,27.3,27.37,31.2
26.29,25.2,34.68,28.29,28.54,33.16
19.7,19.77,23.4,22.36,21.4,23.47
26.79,24.55,33.59,27.32,27.59,32.11
27.4,25.25,34.29,27.82,28.38,32.81
21.64,20.05,26.67,22.97,21.79,25.94
26.29,23.17,30.34,25.56,25.9,29.45
27.0,25.26,34.41,28.25,28.36,33.02
26.44,24.6,32.47,27.48,27.54,31.45
19.29,19.13,21.4,20.44,20.05,21.4
21.88,20.88,26.11,23.27,22.45,25.65
26.53,24.44,33.02,27.45,27.36,31.75
20.23,19.43,23.51,21.44,20.6,23.2
24.5,22.47,30.61,25.84,24.9,29.57
26.2,24.1,32.31,27.17,27.0,31.22
24.37,22.3,31.34,25.88,25.14,30.13
26.27,23.39,30.86,25.89,26.07,29.86
22.28,21.12,28.94,24.36,23.3,27.98
23.71,22.39,31.11,25.79,25.19,30.0
19.09,19.06,20.88,20.17,19.96,20.89
26.36,23.37,30.79,25.86,26.09,29.81
26.59,24.54,32.31,27.4,27.46,31.35
25.35,22.81,30.77,25.78,25.72,29.81
26.29,24.92,34.31,28.04,28.15,32.84
26.47,24.44,33.68,27.64,27.64,32.25
19.42,19.18,21.65,20.59,20.14,21.63
22.69,21.79,29.88,25.05,24.21,28.92
25.86,24.14,32.59,27.11,27.14,31.4
26.45,24.0,32.97,27.2,27.13,31.61
23.62,21.77,28.76,24.76,23.7,27.94
21.05,19.79,25.65,22.45,21.36,25.06
26.7,25.09,34.23,27.7,28.14,32.7
26.53,23.71,31.95,26.44,26.65,30.7
27.53,25.45,34.59,27.97,28.62,33.08
22.36,21.05,26.89,23.62,22.71,26.31
18.93,20.45,22.0,21.34,21.29,22.0
26.23,25.57,34.77,28.0,28.7,33.2
21.05,20.57,23.97,22.42,21.84,23.87
21.29,20.63,27.48,23.56,22.51,26.72
25.37,22.87,31.84,26.25,25.69,30.61
27.55,25.06,34.06,27.68,28.19,32.59
26.29,24.67,32.77,27.61,27.62,31.68
26.34,24.62,32.61,27.53,27.57,31.54
27.36,24.64,33.31,27.29,27.71,31.9
26.34,23.54,31.44,26.11,26.36,30.27
21.0,20.7,23.29,22.17,21.93,23.3
25.72,23.05,30.17,25.61,25.92,29.42
26.6,24.27,31.89,27.03,27.19,31.0
23.62,21.27,29.53,24.62,23.62,28.46
26.47,24.2,32.09,27.07,27.1,31.12
26.17,24.95,34.11,27.94,28.07,32.72
22.63,21.61,29.96,25.03,23.96,28.92
20.54,20.25,25.61,22.65,21.76,25.11
19.0,19.48,21.76,20.88,20.93,21.79
27.13,25.32,34.52,28.32,28.46,33.11
22.19,21.02,28.69,24.2,23.17,27.77
25.29,23.18,31.94,26.65,25.84,30.79
26.5,24.7,33.72,27.72,27.88,32.36
26.31,23.45,31.07,25.97,26.18,30.0
27.31,25.62,34.86,28.13,28.79,33.29
24.26,22.17,29.89,25.37,24.37,28.9
27.23,24.44,32.79,27.04,27.46,31.48
24.0,22.2,31.15,25.75,24.95,29.96
26.3,24.64,32.68,27.56,27.61,31.61
25.95,23.32,32.47,26.62,26.23,31.18
26.2,24.54,33.83,27.73,27.72,32.38
27.25,25.8,35.09,28.29,29.02,33.52
