iter	RMSE
0	6.705717817
1	6.298668328
2	5.915172498
3	5.539738775
4	5.189691488
5	4.903174773
6	4.606652525
7	4.365451065
8	4.110937924
9	3.911026031
10	3.721196743
11	3.560684348
12	3.412604678
13	3.271986141
14	3.145874532
15	3.044116441
16	2.930958903
17	2.83374334
18	2.743356166
19	2.660889024
20	2.595344313
21	2.530548461
22	2.465199095
23	2.406413329
24	2.356747006
25	2.302343702
26	2.255976528
27	2.208752193
28	2.176893274
29	2.127340665
30	2.090467363
31	2.061521512
32	2.031236288
33	2.002216688
34	1.975320468
35	1.952719653
36	1.925124254
37	1.897494746
38	1.870938259
39	1.855527402
40	1.835722266
41	1.820155829
42	1.80088374
43	1.780959452
44	1.767426392
45	1.751967851
46	1.731175141
47	1.715768696
48	1.69561639
49	1.68505785
50	1.665079043
51	1.648679753
52	1.636910545
53	1.615708886
54	1.606628473
55	1.594390553
56	1.581010933
57	1.572189305
58	1.561405946
59	1.551304363
60	1.542140594
61	1.531150544
62	1.517812554
63	1.503083628
64	1.490227988
65	1.47600086
66	1.467007731
67	1.456125447
68	1.444965259
69	1.439163999
70	1.429496703
71	1.422509732
72	1.408477978
73	1.401928807
74	1.392041627
75	1.380547866
76	1.371658805
77	1.364678724
78	1.35722641
79	1.350134626
80	1.343963461
81	1.341093751
82	1.331332023
83	1.325955097
84	1.31881452
85	1.315125104
86	1.311030889
87	1.301252766
88	1.281522015
89	1.279074631
90	1.27541033
91	1.262936281
92	1.258430374
93	1.251930097
94	1.249203994
95	1.238017616
96	1.234017686
97	1.225250269
98	1.217663262
99	1.215442003
