iter	Passed	Remaining
0	21	2131
1	42	2087
2	64	2070
3	85	2044
4	106	2028
5	128	2006
6	150	2004
7	171	1976
8	192	1946
9	213	1918
10	234	1897
11	258	1893
12	278	1865
13	300	1844
14	321	1822
15	342	1799
16	364	1778
17	386	1760
18	407	1738
19	429	1719
20	451	1698
21	472	1674
22	494	1656
23	516	1635
24	537	1611
25	558	1590
26	580	1569
27	601	1547
28	623	1525
29	644	1503
30	666	1482
31	687	1461
32	708	1438
33	730	1417
34	751	1396
35	773	1374
36	795	1353
37	817	1333
38	839	1312
39	860	1290
40	881	1268
41	902	1246
42	923	1223
43	944	1202
44	965	1180
45	987	1159
46	1009	1138
47	1031	1117
48	1052	1095
49	1074	1074
50	1096	1053
51	1117	1031
52	1138	1009
53	1159	987
54	1180	965
55	1200	943
56	1222	922
57	1243	900
58	1264	878
59	1285	857
60	1307	835
61	1328	814
62	1350	793
63	1371	771
64	1393	750
65	1414	728
66	1435	707
67	1457	685
68	1478	664
69	1499	642
70	1521	621
71	1542	599
72	1564	578
73	1585	556
74	1607	535
75	1627	513
76	1649	492
77	1670	471
78	1692	449
79	1712	428
80	1733	406
81	1755	385
82	1776	363
83	1798	342
84	1820	321
85	1841	299
86	1862	278
87	1883	256
88	1905	235
89	1926	214
90	1947	192
91	1969	171
92	1990	149
93	2012	128
94	2033	107
95	2054	85
96	2075	64
97	2096	42
98	2117	21
99	2138	0
